id,word,freq,doc_freq
64,results,19455,1905
0,abstract,2311,1905
629,discussion,2510,1904
181,study,41558,1903
102,introduction,2682,1897
795,known,4153,1894
246,methods,5171,1893
803,adds,2091,1893
21,data,28905,1892
115,also,15577,1892
396,used,18587,1889
409,already,2744,1889
258,one,18329,1877
796,topic,2202,1871
199,analysis,23103,1869
938,however,10648,1868
194,two,16530,1867
200,using,14123,1856
16,design,5247,1853
403,included,14174,1845
189,studies,29407,1839
52,outcome,12245,1838
584,table,13190,1831
214,compared,13490,1792
62,based,12472,1790
776,could,10304,1786
86,number,9707,1762
613,non,14212,1759
517,three,10607,1743
101,time,13951,1741
182,found,9474,1740
622,use,17068,1737
429,reported,13594,1733
151,including,7587,1727
18,analyses,15168,1724
486,similar,7639,1722
163,although,7185,1708
171,high,11845,1693
67,risk,43833,1692
331,would,8748,1692
360,less,7129,1692
78,confidence,9815,1688
702,higher,10060,1680
10,associated,14504,1676
253,first,9670,1669
556,findings,7229,1668
243,years,16946,1659
209,effect,14124,1653
61,evidence,10870,1652
677,limitations,3269,1650
79,interval,8394,1646
196,population,11328,1631
444,age,16798,1630
230,available,6171,1627
3,whether,6149,1626
672,important,5137,1609
430,statistical,4221,1606
164,well,4945,1603
51,main,4126,1603
1192,information,8505,1602
176,previous,6642,1602
63,clinical,13204,1595
136,different,6831,1594
119,within,7165,1591
53,measures,5346,1590
945,potential,6018,1589
87,increased,11263,1584
35,setting,3497,1583
457,group,16330,1582
825,health,14731,1576
37,participants,15146,1572
71,significant,9619,1559
95,conclusions,2822,1559
150,research,6840,1547
805,objective,2092,1545
212,likely,6217,1542
644,large,5344,1539
130,several,4451,1537
77,differences,7270,1530
884,considered,4677,1528
321,primary,11169,1527
460,lower,7798,1524
70,overall,6171,1520
520,therefore,4547,1513
569,groups,9512,1509
870,might,7373,1508
38,patients,37973,1503
353,excluded,4609,1503
708,possible,4369,1503
74,among,10729,1499
780,increase,6867,1495
854,total,7072,1492
84,year,9915,1489
185,without,6009,1489
1033,characteristics,5118,1487
866,low,9614,1486
12,outcomes,14202,1483
446,five,5543,1475
205,four,5667,1472
479,least,5067,1470
13,effects,9727,1468
228,related,6477,1456
221,shown,3969,1456
170,small,5025,1455
177,showed,5199,1443
338,defined,4544,1439
624,identified,5197,1436
20,level,6694,1434
687,specific,6280,1434
1132,factors,8133,1420
231,given,4075,1419
76,difference,7738,1415
240,period,7433,1409
89,rate,8908,1408
640,strengths,2035,1405
917,many,3731,1398
158,may,10851,1396
242,additional,4232,1394
675,follow,10831,1385
180,recent,3770,1381
58,treatment,21941,1378
19,patient,10672,1375
1200,observed,5855,1369
1172,range,4306,1364
519,comparison,3579,1363
509,model,8268,1361
284,assessed,4760,1361
897,disease,18439,1359
1634,ratio,9352,1349
1107,sample,5633,1341
107,shows,3697,1339
437,calculated,3394,1333
250,general,6910,1323
518,mean,7024,1322
83,per,7931,1316
989,according,3924,1312
506,estimated,4914,1311
293,either,3295,1309
975,limited,3181,1309
709,example,4420,1306
2010,individual,5075,1303
595,result,3609,1301
674,six,5466,1297
651,addition,3336,1293
8,greater,3993,1280
495,include,2733,1278
715,rates,9068,1277
175,across,4973,1276
842,bias,7027,1274
264,test,7055,1269
184,significantly,5045,1269
201,provided,3514,1264
967,current,4275,1259
287,medical,6327,1258
485,control,8753,1256
939,common,3325,1256
1769,assess,3033,1253
1108,size,4205,1251
50,care,15162,1249
1340,implications,1851,1249
737,case,5464,1247
252,fig,5605,1243
1086,standard,4300,1240
431,regression,4073,1239
692,even,2981,1239
68,adjusted,7070,1238
1111,estimates,5671,1228
295,provide,2781,1223
30,national,4773,1222
834,criteria,4222,1199
837,measure,2963,1196
418,assessment,4802,1194
630,proportion,4285,1193
111,quality,7843,1189
953,status,5306,1186
578,relevant,3150,1175
1076,intervals,2723,1173
1529,aged,5083,1171
906,thus,2910,1169
1102,sensitivity,5295,1167
1120,estimate,3335,1166
1078,baseline,8243,1164
1761,previously,2466,1162
192,term,5298,1160
920,suggest,2484,1159
350,cases,7278,1154
691,people,9340,1152
1757,need,2799,1152
924,often,2704,1152
670,another,2185,1151
1090,report,3226,1146
533,present,2833,1146
1256,cohort,9086,1145
376,variables,4624,1138
1607,multiple,3550,1138
591,consistent,2729,1135
597,type,5977,1133
22,hospital,10824,1132
238,new,4251,1131
49,models,5218,1129
98,reduce,2957,1129
893,association,8488,1128
222,whereas,2421,1127
274,change,4905,1120
337,obtained,2472,1120
145,rather,2350,1118
1316,determine,2110,1113
312,long,3725,1108
1408,practice,5774,1106
494,controlled,6482,1104
112,reduced,3400,1104
168,show,2239,1104
770,major,3949,1103
2606,relative,6041,1097
821,trials,18437,1095
514,account,2274,1091
443,sex,5143,1090
876,needed,2674,1090
822,published,4154,1089
127,secondary,4278,1084
535,values,3373,1074
593,respectively,3050,1071
921,inclusion,2778,1071
179,see,4057,1070
157,approach,3089,1060
524,described,2147,1054
2025,made,2267,1053
1167,united,2643,1052
352,months,7856,1051
1398,average,3589,1051
406,examined,2754,1051
113,death,8817,1050
711,review,6212,1049
301,second,3289,1049
2194,single,3006,1049
1278,women,20078,1046
152,us,3773,1043
28,mortality,16725,1038
2453,point,2811,1036
775,future,2318,1036
852,trial,13037,1035
104,cause,4937,1032
530,since,2682,1029
655,lack,2127,1029
858,despite,1804,1029
1407,followed,2112,1027
1137,version,1683,1026
367,identify,2259,1025
568,part,2469,1022
371,date,4180,1021
1211,index,6822,1020
747,basis,2167,1020
137,levels,4573,1017
1161,potentially,2151,1011
1217,particularly,2119,1008
160,increasing,2450,1004
1434,selected,2348,1004
731,support,3457,1003
370,measured,2955,1002
845,performed,3387,1000
483,terms,2351,999
993,conducted,2878,998
2593,value,2770,998
1405,events,7969,996
930,furthermore,1994,991
126,diagnosis,6059,990
1025,full,2701,985
116,suggests,1728,985
11,changes,3779,984
487,method,2492,984
1573,received,3720,983
552,intervention,11587,982
202,reduction,4879,982
2891,ratios,4207,982
696,relation,3050,982
328,eligible,2736,980
1238,median,3320,977
1194,figure,2323,977
839,independent,2205,977
438,expected,2203,977
66,suggested,1943,977
1104,v,4754,976
110,better,2479,975
310,following,1797,972
694,impact,3506,970
1271,early,3875,967
843,random,2524,966
394,missing,3166,963
695,finally,1771,963
820,randomised,8625,960
88,day,5611,956
46,interventions,5481,956
1553,recorded,3176,953
1084,required,2154,953
946,selection,2182,951
1688,still,1763,947
581,combined,2802,946
203,occurred,2208,946
1077,end,3135,940
339,international,1948,937
327,third,2194,935
1249,positive,4041,933
397,collected,2126,931
54,days,6152,929
1502,score,7293,926
141,system,2927,926
1067,reporting,4207,925
1754,benefit,3477,925
718,versus,3342,925
166,relatively,1789,924
669,due,2565,923
846,seven,2407,919
532,tests,3174,917
435,adjustment,3026,917
963,older,3940,914
1575,variable,2377,911
190,evaluated,2260,911
678,life,5924,909
869,conclusion,1227,908
391,complete,2204,905
244,analysed,1895,901
2362,developed,2370,900
733,finding,1543,899
905,incidence,5996,898
162,appropriate,1788,892
267,involved,1851,888
600,numbers,1837,886
814,sources,2124,875
220,effective,3632,868
765,healthcare,3049,867
996,populations,2412,865
710,systematic,3688,864
439,risks,3540,864
1404,adverse,5382,862
1227,guidelines,2961,862
1166,carried,2119,859
272,particular,1558,856
1248,much,1543,856
2105,power,1874,853
191,longer,2012,851
73,seen,1979,851
564,question,1379,851
120,countries,4338,850
859,substantial,1646,848
1187,duration,3456,841
255,eight,2066,838
730,provides,1343,838
862,short,2233,836
2301,prevalence,4007,831
277,conditions,2974,831
91,generally,1575,831
923,factor,2498,830
798,policy,2266,829
99,improve,1850,827
432,comparing,1610,826
75,treated,3591,825
1389,drugs,6213,824
3193,reports,2692,824
167,little,1502,821
1223,unlikely,1444,821
1548,response,2753,818
558,public,2379,815
1168,states,1969,815
567,presented,1749,814
1576,history,3331,812
3182,scale,2797,812
745,benefits,2558,810
1298,lead,1582,806
813,meta,8780,801
341,diseases,2651,801
1494,subsequent,2052,801
599,details,1469,801
706,able,1356,801
26,database,2785,800
4147,contrast,1530,797
1381,drug,7067,794
147,larger,1644,792
950,differ,1483,790
713,initial,2046,789
1309,reasons,1454,789
92,remained,1558,788
3375,highest,2232,787
1109,half,1575,785
838,body,4602,784
719,times,1881,781
1639,significance,1494,780
1151,records,2583,775
1329,firstly,1238,774
631,statistically,2368,773
2654,around,1581,773
985,self,4524,772
943,observational,2751,772
2486,continuous,1813,772
2747,distribution,1607,770
1334,increases,1829,768
3231,recommended,1877,764
2023,determined,1333,764
614,owing,1597,762
880,management,3429,760
3051,none,1276,760
