id,word,freq,doc_freq
50,also,9671,2963
215,study,10151,2684
553,researchers,7053,2504
653,research,6716,2497
181,may,14453,2439
370,one,4987,2326
542,new,5877,2309
38,people,13526,2243
609,found,4191,2083
211,however,4048,2012
491,could,4240,1968
53,health,6133,1940
617,university,3456,1921
141,help,5949,1827
1463,many,3746,1807
730,first,3006,1722
556,published,1956,1716
572,time,3309,1712
4,disease,6031,1689
560,journal,1856,1627
10,use,4497,1620
78,treatment,5614,1544
157,using,2828,1541
106,risk,5795,1535
613,author,2169,1522
51,lead,2432,1521
419,including,2644,1520
471,results,2533,1519
209,body,4485,1482
59,different,2736,1470
1066,team,2889,1460
371,two,2449,1459
543,findings,2351,1458
274,well,2289,1449
158,important,2200,1442
614,professor,2157,1425
303,high,3638,1420
546,studies,2597,1393
85,used,2420,1389
541,according,2108,1378
626,called,2309,1376
119,cause,4481,1375
358,medical,2774,1341
900,work,2226,1304
9,person,7913,1283
628,percent,3656,1282
1357,make,2284,1279
2581,said,4115,1260
123,even,1832,1256
635,cells,7224,1255
1122,years,2259,1239
395,blood,5337,1223
1,common,2597,1220
489,way,1840,1220
152,often,2179,1204
191,effects,3225,1197
28,include,3636,1180
664,says,2608,1152
15,long,1932,1151
1449,levels,3419,1141
136,known,1677,1139
1688,less,1861,1138
670,need,1870,1136
27,symptoms,6843,1134
145,type,2469,1128
692,likely,1955,1112
177,much,1629,1107
476,whether,1599,1093
1794,scientists,2155,1089
86,control,1935,1078
696,like,1759,1077
1553,possible,1744,1076
207,system,2499,1062
88,reduce,2519,1060
1157,better,1508,1034
1670,without,1587,1030
338,conditions,2155,1026
666,higher,1823,1022
314,able,1476,1022
105,increase,1845,1021
765,potential,1564,1015
716,human,2151,1002
1568,might,1747,1001
299,changes,2213,1000
1513,life,1886,980
762,medicine,1784,980
418,around,1659,978
317,specific,1466,977
5,several,1438,971
969,factors,1956,968
527,develop,1749,966
691,would,1658,957
323,take,1762,950
212,part,1404,950
14,causes,2354,947
963,types,1821,945
1257,group,1869,942
430,another,1282,939
23,small,1673,937
693,effective,1544,924
2588,led,1114,922
1177,institute,1404,921
11,treat,1868,919
300,prevent,1781,910
450,see,1554,907
699,based,1446,906
645,data,1709,902
1038,patients,3288,900
2344,associated,1435,896
629,states,1154,896
755,certain,1371,894
272,condition,2291,891
602,brain,4574,890
61,treatments,1760,887
289,low,2024,881
337,result,1315,879
1164,cancer,7327,874
1270,cell,2759,874
639,development,1499,873
1181,number,1292,873
651,national,1251,865
385,increased,1402,862
39,find,1231,862
619,united,1007,862
381,example,1187,855
382,following,1525,853
1672,authors,1419,850
1020,clinical,1467,844
512,improve,1431,836
575,age,1850,835
891,effect,1366,835
561,suggests,1244,834
367,experience,1766,829
2097,lower,1496,827
343,get,1321,826
683,role,1270,826
346,related,1316,824
389,affect,1408,818
554,suggest,1083,817
3063,school,1383,816
1472,similar,1112,816
