id,word,freq,doc_freq
4,clínica,2952,831
33,doença,5985,793
5,tratamento,5651,788
20,diagnóstico,5270,788
303,in,6374,769
37,tipo,2823,753
28,superior,2351,717
79,tempo,2313,671
40,terapêutica,3415,659
64,trabalho,2025,654
11,população,3064,641
45,análise,2969,640
93,sexo,2195,637
35,período,2066,637
36,base,1613,607
85,vida,2914,596
77,associação,1746,596
3,saúde,5813,594
129,desenvolvimento,1784,571
76,evolução,1581,555
50,valor,1873,524
192,sistema,1530,513
72,incidência,1639,512
15,dia,1851,506
52,patologia,1284,491
17,redução,1452,485
8,pré,1740,469
42,grau,1162,461
7,prevalência,2146,457
44,amostra,1949,442
9,taxa,1491,434
177,alta,949,431
158,precoce,946,411
19,padrão,918,408
144,mortalidade,1369,402
49,teste,1276,401
41,médico,1537,375
108,sentido,745,374
1656,figura,1063,356
46,estatística,670,353
125,prognóstico,1114,351
188,síndrome,1167,345
90,eficácia,945,345
86,anti,1294,342
130,via,1053,342
47,tabela,1282,341
14,medicina,1454,340
111,lesão,1334,334
121,ponto,597,328
411,prevenção,827,324
98,cirurgia,1857,322
370,origem,659,322
276,variável,588,311
38,antecedentes,585,311
102,dor,1703,309
195,face,668,306
123,ana,450,300
146,gravidade,718,297
314,auto,795,296
280,eficaz,556,295
417,sensibilidade,869,293
260,hipótese,493,292
255,g,1115,290
122,vista,455,289
51,ética,461,285
6,fármacos,1086,282
319,índice,784,282
65,meio,517,282
131,tendência,507,270
147,vascular,701,264
12,etiologia,549,264
208,dose,1087,263
48,versão,688,261
25,unidade,663,261
295,infecção,1678,255
95,intervalo,501,255
83,diabetes,1358,253
198,probabilidade,499,253
18,família,868,248
84,hipertensão,705,248
229,sangue,720,238
70,linha,417,237
627,correlação,760,235
59,indicação,490,235
1316,one,396,234
68,acesso,649,231
536,resolução,421,230
290,insuficiência,813,228
292,l,939,225
320,massa,619,222
213,termo,612,218
197,tecido,598,216
88,pressão,684,215
271,negativo,372,215
118,inclusão,376,212
91,entidade,382,211
99,física,794,210
400,medicação,512,210
110,volume,503,208
218,indivíduo,444,208
215,específico,302,204
402,disfunção,544,196
452,série,413,196
252,proteína,440,190
364,depressão,1172,183
375,co,580,183
337,sub,457,182
294,direito,408,180
142,tomografia,248,178
268,febre,613,177
94,mediana,531,175
327,gravidez,1410,174
350,adesão,723,174
573,especificidade,431,172
232,imagem,367,168
412,regular,274,167
296,agente,415,166
145,razão,334,166
140,recuperação,417,163
55,ácido,436,162
340,ecografia,388,162
553,estrutura,313,161
356,cálculo,275,158
116,hemorragia,443,155
366,plano,274,154
54,obesidade,1036,153
500,edema,358,152
69,ansiedade,757,150
329,stress,539,149
394,logo,192,149
207,temporal,329,148
172,ex,294,146
423,genética,270,144
368,regressão,380,142
67,transmissão,479,140
235,complexo,241,140
352,transversal,218,140
845,pele,336,139
75,ciclo,388,138
16,ambulatório,375,138
330,cancro,870,137
488,vírus,772,137
150,agudo,286,137
233,ressonância,209,137
180,sinal,314,135
657,inflamação,304,132
426,oms,297,131
306,metabolismo,261,131
53,episódio,371,130
13,extra,242,130
403,anemia,409,129
569,excluir,164,128
243,tumor,600,127
511,fluxo,332,127
114,necrose,255,126
105,síntese,222,124
431,retrospectivo,190,124
721,neoplasia,303,122
159,fator,286,122
300,sensível,183,122
78,regime,280,121
462,per,223,121
62,radiografia,221,121
351,etário,292,120
746,compatível,156,120
673,parto,844,119
724,primário,205,118
379,validade,352,117
246,terapia,407,116
60,espectro,176,116
1,prescrição,510,115
435,dieta,297,115
636,raça,179,113
656,recorrência,240,111
1028,biópsia,230,111
521,infância,230,109
705,inter,199,109
416,cultura,272,108
265,falência,211,108
607,densidade,211,108
63,tórax,169,108
739,consciência,242,107
298,pico,213,107
424,visão,172,106
924,carcinoma,474,104
138,indução,278,104
583,agora,152,104
100,reabilitação,323,103
230,urina,251,103
544,zona,242,103
571,dependência,383,102
392,rede,250,102
231,gene,443,101
675,gestação,409,101
534,substância,236,101
217,paciente,296,100
187,língua,172,100
1000,superfície,176,99
373,memória,430,98
219,álcool,765,97
244,luz,160,97
372,músculo,201,96
590,emergência,177,96
1024,quimioterapia,413,95
572,semi,155,95
836,fisiopatologia,153,95
210,cervical,393,94
501,pulmão,206,94
283,temperatura,146,94
514,órgão,164,93
27,aparelho,145,93
588,proliferação,172,92
603,equilíbrio,167,92
184,re,141,92
182,sono,576,91
1054,toxicidade,216,91
104,inibição,202,91
216,traumatismo,197,91
560,profilaxia,465,90
913,recidiva,281,90
317,hemoglobina,210,90
945,tolerância,180,90
194,tronco,179,90
902,remoção,177,89
383,linear,168,89
752,obstrução,164,89
666,visual,211,88
723,suspensão,206,88
638,anorexia,155,88
689,artéria,337,87
278,fatal,151,87
679,neonatal,371,86
719,solução,205,86
654,tensão,161,86
535,medula,217,85
220,estilo,160,85
430,elemento,125,85
557,água,281,84
909,drenagem,230,84
156,peri,164,84
663,sensação,144,84
141,ventilação,266,83
234,sintoma,174,83
212,transplante,676,82
24,pneumonia,240,82
308,secreção,221,82
310,perfusão,210,82
486,imune,187,82
250,imunodeficiência,138,82
751,mucosa,283,81
701,coeficiente,225,81
206,atrofia,179,81
566,organismo,158,81
262,membrana,141,81
434,adolescência,137,81
1163,remissão,257,80
287,ar,160,80
489,coagulação,134,80
163,segmento,151,79
642,radioterapia,307,78
604,glicose,304,78
284,tosse,214,78
316,meta,177,78
164,eixo,155,78
167,lo,122,78
702,anatomia,279,77
759,tabagismo,240,77
149,enfarte,180,77
92,insulina,459,76
359,hepatite,437,76
781,acuidade,166,76
1307,fígado,144,76
548,foco,123,76
418,prospectivo,107,76
441,cérebro,162,75
169,decurso,95,75
82,leite,277,74
469,humor,203,74
224,marcha,154,74
539,imunidade,152,74
671,bolsa,95,74
717,mama,405,73
595,nutrição,315,73
214,trauma,276,73
490,trombose,263,73
975,cavidade,170,73
421,oncologia,163,73
281,higiene,134,73
258,título,106,73
267,alerta,102,73
558,cabeça,174,72
332,punção,160,72
466,personalidade,311,71
87,enzima,125,71
393,longitudinal,121,71
151,miocárdio,186,70
565,articulação,127,70
154,repercussão,89,70
137,venoso,190,69
1228,supra,174,69
797,cura,173,69
361,artrite,162,69
191,fadiga,157,69
497,choque,135,69
944,lobo,133,69
611,fórmula,132,69
225,hemograma,98,69
697,tardio,97,69
226,vitamina,439,68
674,feto,278,68
765,alfa,164,68
279,soro,163,68
10,estimativa,149,68
658,mecânica,148,68
646,limiar,127,68
563,parâmetro,110,68
1078,parênquima,131,67
683,predisposição,92,67
1149,útero,203,66
730,energia,161,66
371,coorte,154,66
473,universal,104,66
367,equivalente,83,66
437,psiquiatria,373,65
600,gordura,207,65
409,linguagem,196,65
1037,rim,145,65
328,absorção,135,65
653,interferência,104,65
132,anestesia,176,64
443,teoria,126,64
339,transferência,94,64
632,colesterol,252,63
344,vaginal,222,63
619,dna,180,63
1253,núcleo,137,63
862,ritmo,119,63
406,regras,115,63
155,hemodinâmica,114,63
956,distal,113,63
608,reflexão,106,63
66,seleção,94,63
103,creatinina,218,62
1015,infiltração,140,62
529,proximal,101,62
1895,mente,92,62
355,precisão,85,62
247,placebo,216,61
32,asma,213,61
285,febril,122,61
840,mutação,301,60
860,ventricular,190,60
449,bloqueio,162,60
171,amplitude,118,60
380,transição,117,60
251,complemento,107,60
481,retenção,105,60
81,catarina,88,60
741,astenia,83,60
2283,pre,79,60
238,axial,77,60
690,cesariana,167,59
685,canal,154,59
1032,adjuvante,154,59
57,beta,106,59
96,absoluto,73,59
1086,tuberculose,198,58
1116,dilatação,116,58
401,vulnerabilidade,109,58
1216,casuística,94,58
291,leucocitose,91,58
639,intolerância,88,58
1170,medicamento,271,57
762,plasma,131,57
738,paralisia,125,57
531,abertura,115,57
1043,tabaco,281,56
587,crise,180,56
629,coronária,170,56
1040,invasão,117,56
917,fibrose,101,56
293,infiltrado,92,56
1134,visualização,81,56
374,eficiência,213,55
1229,tubo,165,55
959,mão,164,55
987,ecocardiograma,106,55
410,sentir,86,55
579,obstetrícia,150,54
1332,resistente,87,54
439,gama,78,54
584,fundo,72,54
39,vacinação,418,53
241,avc,416,53
841,veia,230,53
667,nervo,209,53
451,difusão,134,53
405,vontade,81,53
495,palpação,78,53
323,glicemia,250,52
442,perinatal,181,52
644,jejum,161,52
124,estenose,148,52
408,verbal,145,52
549,variância,137,52
205,esclerose,102,52
336,estratificação,99,52
1103,coma,95,52
301,fixação,86,52
589,reflexo,71,52
709,quarta,63,52
1194,córtex,179,51
760,alcoolismo,128,51
773,morfologia,78,51
43,antibiótico,128,50
1822,hiv,118,50
181,rigidez,98,50
1011,histologia,98,50
282,óbito,96,50
791,intermitente,90,50
777,superficial,81,50
388,zero,78,50
1349,multi,67,50
173,colo,313,49
516,viral,178,49
80,adolescente,143,49
453,agressividade,99,49
864,eritema,88,49
471,vital,72,49
775,célula,126,48
881,radiação,118,48
1304,hiperplasia,103,48
757,fato,95,48
552,secção,91,48
325,ph,90,48
1146,manipulação,66,48
386,demência,271,47
248,medo,136,47
321,inserção,104,47
399,ginecologia,93,47
440,maturação,76,47
61,vacina,351,46
1207,seio,176,46
951,maternidade,129,46
737,espécie,128,46
1246,rotura,126,46
652,pé,105,46
508,herpes,102,46
835,tromboembolismo,86,46
0,trato,74,46
211,serotonina,154,45
1292,fenótipo,131,45
127,aorta,129,45
342,ui,107,45
264,hospedeiro,102,45
643,anticorpo,96,45
378,aferir,66,45
382,matriz,62,45
444,visível,49,45
803,hipertrofia,109,44
1095,derrame,100,44
905,oclusão,99,44
562,imunossupressão,79,44
694,dispersão,52,44
933,meningite,159,43
802,hematoma,139,43
1023,nódulo,115,43
331,ovário,112,43
478,taquicardia,99,43
133,sedação,95,43
2,racional,66,43
362,reumatóide,61,43
433,substancial,52,43
136,cateter,175,42
839,cardiopatia,95,42
491,calibre,85,42
483,apetite,82,42
761,bioquímica,82,42
113,intersticial,79,42
153,reação,72,42
353,amostragem,57,42
385,linfoma,180,41
343,analgesia,124,41
322,endocrinologia,122,41
1280,pâncreas,100,41
1439,epidemia,90,41
